type,number,name,title,bidder,date,committee_mem1,committee_mem2,committee_mem3
EOI 1213,EOI,1213,Los Carpinteros,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Louis Pratt,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Louisa Dawson,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Louise Lavarack,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Louise Paramor,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lucas Salton Design,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,MadeIn Company,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,MAP / MAS,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,MAP Office,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Mariele Neudecker,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Marigold Multimedia Ltd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Mariko Mori Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Mario Madayag Limited,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
